name|orcid|month_of_birth|year_of_birth|mail|bio
Gilles Guette|9404-5450-4767-7840|6|1985|iwAaxsL@duck.com|Good Quality Dog Food
Renaud Pacalet|2886-4313-9155-9063|12|1952|mAgIX@duck.com|Not as Advertised
Hak-Keung Lam|2629-3989-5026-3274|6|1942|maGyVg@duck.com|"""Delight"" says it all"
Sebastian J. F. Fudickar|0000-0002-3553-5131|7|1977|utqmZOW@outlook.it|Cough Medicine
Cristiana Amza|6548-4280-5081-9705|6|1949|WcmIhU@outlook.it|Great taffy
Afshan Nourizadeh|2570-5168-4862-2639|2|1956|giwnbEe@tiscali.it|Nice Taffy
Willem-Jan van den Heuvel|7290-9549-8348-3983|4|1960|ApUoi@mail.polimi.it|Great!  Just as good as the expensive brands!
Arthur Foltz|8539-1372-8582-8655|1|1942|wDxwh@duck.com|Wonderful, tasty taffy
Luis M. Camarinha-Matos|0000-0003-0594-1961|4|1972|FtdSUPD@outlook.it|Yay Barley
Sebastian Görg|7498-1590-5157-2600|1|1966|zfBvpEX@mail.polimi.it|Healthy Dog Food
Dominique Borrione|7922-6334-9671-0591|4|1980|nvcLzAj@outlook.it|The Best Hot Sauce in the World
Stefan Gudenkauf|7632-0239-5194-6724|7|1957|AbfQY@duck.com|"My cats LOVE this ""diet"" food better than their regular food"
Noura Faci|0452-9872-8161-3093|7|1964|OJRDf@tiscali.it|My Cats Are Not Fans of the New Food
Alexander Schill|9923-3230-7677-1123|4|1959|uAtrG@mail.polimi.it|fresh and greasy!
Françoise Fabret|2097-0916-5700-8606|8|1951|edQbwgb@gmail.com|Strawberry Twizzlers - Yummy
Wei Ren 0001|4636-3343-7197-3487|4|1955|dzxWlYG@outlook.it|Lots of twizzlers, just what you expect.
Yoshiaki Sugiyama|5106-7368-4109-6482|4|1952|TEjsV@mail.polimi.it|poor taste
Moulay Driss Mechaoui|0000-0001-7480-2071|9|1951|yLLeV@gmail.com|Love it!
Werner Emde|8145-8429-0074-4052|6|1973|pVASnM@tiscali.it|GREAT SWEET CANDY!
Geoffrey Simmons|5316-5762-8534-1049|12|1967|ElwZvR@gmail.com|Home delivered twizlers
Benjamin Venelle|7248-6040-1292-6292|7|1944|tTjNPB@gmail.com|Always fresh
Özalp Babaoglu|0000-0001-5848-1319|9|1974|gddqD@mail.polimi.it|TWIZZLERS
Julien Haillot|0834-2990-1623-8955|12|1971|adlEViZ@gmail.com|Delicious product!
Antoni Buades|0594-7849-5877-9256|4|1956|krYWp@gmail.com|Twizzlers
Krassimir T. Atanassov|2361-9449-5420-6245|12|1989|zlmuoc@tiscali.it|Please sell these in Mexico!!
Abdullah Alghamdi|4611-2561-1873-4936|2|1946|sYFdJMk@mail.polimi.it|Twizzlers - Strawberry
Yuichiro Anzai|8375-2567-3199-0491|3|1978|wjixtG@tiscali.it|Nasty No flavor
J. Christopher Westland|0000-0003-2224-4543|6|1947|kIfuvO@mail.polimi.it|Great Bargain for the Price
Mariá C. V. Nascimento|5815-5174-8720-4019|12|1975|vRevrad@gmail.com|YUMMY!
Ebtisam Amar|7713-5651-8043-2149|11|1985|uOKFSq@tiscali.it|The Best Hot Sauce in the World
Markus Schedl|0373-7360-2181-7626|12|1965|eXFqR@gmail.com|Great machine!
JinRong Wang 0001|0000-0002-6642-1946|11|1968|ldcmdD@gmail.com|THIS IS MY TASTE...
Naveen Srinivasan|7479-6199-8425-6685|6|1984|dpbtFPu@outlook.it|Best of the Instant Oatmeals
Michael Gillmann|9355-7878-6617-5100|10|1963|CDQnsWS@duck.com|Good Instant
Václav Rajlich|7019-0453-2569-2977|7|1946|HJsPml@tiscali.it|Great Irish oatmeal for those in a hurry!
Jack K. Hale|5316-8257-7021-2067|2|1957|DKwNP@mail.polimi.it|satisfying
Roberto García 0001|2348-6316-2261-6207|8|1967|aPdcxDp@duck.com|Love Gluten Free Oatmeal!!!
Sparsh Mittal|1186-1770-4878-6897|12|1977|VfCWQX@outlook.it|it's oatmeal
Manfred A. Jeusfeld|0000-0002-9421-8566|12|1954|APfVCPR@duck.com|GOOD WAY TO START THE DAY....
Amira Meharouech|5268-1068-3232-1624|10|1987|YRknYdo@tiscali.it|Wife's favorite Breakfast
Alexandre A. B. Lima|1090-0155-9313-9078|3|1982|pNcER@gmail.com|Why wouldn't you buy oatmeal from Mcanns? Tastes great!
Irene T. P. Vanderfeesten|7307-1405-7193-2312|10|1959|SxPYLIy@gmail.com|Oatmeal For Oatmeal Lovers
Matthew O. Ward|9580-5167-0545-4649|6|1988|ccuzoLm@duck.com|Food-Great
Bjørn N. Freeman-Benson|9283-0641-1984-6088|5|1980|CXXWyK@gmail.com|Good Hot Breakfast
Shubhashis Sengupta|2173-7878-0191-8590|4|1968|JCvyy@duck.com|Great taste and convenience
