name|orcid|month_of_birth|year_of_birth|mail
Gilles Guette|9404-5450-4767-7840|6|1985|YfArdk@duck.com
Renaud Pacalet|2886-4313-9155-9063|12|1952|rtqvdU@outlook.it
Hak-Keung Lam|2629-3989-5026-3274|6|1942|MqzpA@duck.com
Sebastian J. F. Fudickar|0000-0002-3553-5131|7|1977|SIUciJ@duck.com
Cristiana Amza|6548-4280-5081-9705|6|1949|qSnAR@duck.com
Afshan Nourizadeh|2570-5168-4862-2639|2|1956|IohnGo@mail.polimi.it
Willem-Jan van den Heuvel|7290-9549-8348-3983|4|1960|kuEOn@duck.com
Arthur Foltz|8539-1372-8582-8655|1|1942|KASLRX@mail.polimi.it
Luis M. Camarinha-Matos|0000-0003-0594-1961|4|1972|ybGNx@duck.com
Sebastian Görg|7498-1590-5157-2600|1|1966|zSmpwL@duck.com
Dominique Borrione|7922-6334-9671-0591|4|1980|OfIAMl@mail.polimi.it
Stefan Gudenkauf|7632-0239-5194-6724|7|1957|LUdRGtE@gmail.com
Noura Faci|0452-9872-8161-3093|7|1964|egrZeW@duck.com
Alexander Schill|9923-3230-7677-1123|4|1959|LBPDuj@tiscali.it
Françoise Fabret|2097-0916-5700-8606|8|1951|wlzfI@duck.com
Wei Ren 0001|4636-3343-7197-3487|4|1955|mYnlxi@gmail.com
Yoshiaki Sugiyama|5106-7368-4109-6482|4|1952|ZbbnqH@gmail.com
Moulay Driss Mechaoui|0000-0001-7480-2071|9|1951|nKKscT@duck.com
Werner Emde|8145-8429-0074-4052|6|1973|eTMBh@duck.com
Geoffrey Simmons|5316-5762-8534-1049|12|1967|YaMvEo@outlook.it
Benjamin Venelle|7248-6040-1292-6292|7|1944|kwasc@mail.polimi.it
Özalp Babaoglu|0000-0001-5848-1319|9|1974|MShGw@gmail.com
Julien Haillot|0834-2990-1623-8955|12|1971|OBsod@gmail.com
Antoni Buades|0594-7849-5877-9256|4|1956|bHbqJ@gmail.com
Krassimir T. Atanassov|2361-9449-5420-6245|12|1989|oQMjI@gmail.com
Abdullah Alghamdi|4611-2561-1873-4936|2|1946|AzTNgG@outlook.it
Yuichiro Anzai|8375-2567-3199-0491|3|1978|iJrig@outlook.it
J. Christopher Westland|0000-0003-2224-4543|6|1947|QQaFKS@gmail.com
Mariá C. V. Nascimento|5815-5174-8720-4019|12|1975|lMcSre@duck.com
Ebtisam Amar|7713-5651-8043-2149|11|1985|ilGeXnP@tiscali.it
Markus Schedl|0373-7360-2181-7626|12|1965|PJHAFX@tiscali.it
JinRong Wang 0001|0000-0002-6642-1946|11|1968|AXMaD@mail.polimi.it
Naveen Srinivasan|7479-6199-8425-6685|6|1984|aBWav@tiscali.it
Michael Gillmann|9355-7878-6617-5100|10|1963|iyxkn@gmail.com
Václav Rajlich|7019-0453-2569-2977|7|1946|gATErpm@mail.polimi.it
Jack K. Hale|5316-8257-7021-2067|2|1957|qTuzpG@outlook.it
Roberto García 0001|2348-6316-2261-6207|8|1967|kCQpb@tiscali.it
Sparsh Mittal|1186-1770-4878-6897|12|1977|jTViZL@mail.polimi.it
Manfred A. Jeusfeld|0000-0002-9421-8566|12|1954|OeOkIK@duck.com
Amira Meharouech|5268-1068-3232-1624|10|1987|OmAeO@outlook.it
Alexandre A. B. Lima|1090-0155-9313-9078|3|1982|opoiIy@outlook.it
Irene T. P. Vanderfeesten|7307-1405-7193-2312|10|1959|oeXFD@mail.polimi.it
Matthew O. Ward|9580-5167-0545-4649|6|1988|BwjQM@tiscali.it
Bjørn N. Freeman-Benson|9283-0641-1984-6088|5|1980|Cxdra@outlook.it
Shubhashis Sengupta|2173-7878-0191-8590|4|1968|IjuTsT@tiscali.it
Yun Shen|1267-6348-1767-1416|9|1977|tiUCgA@gmail.com
Michele Bezzi|1827-7841-6632-8388|2|1949|PMkQqzq@duck.com
Russell Martin|2480-7688-8448-9709|2|1961|yQLFHV@outlook.it
Christiane Feder|0555-2679-1173-8856|8|1958|tOVCd@gmail.com
Kevin S. Beyer|5695-8039-9107-7691|6|1976|MnGdrZs@gmail.com
Wijnand Derks|8555-4395-9219-3717|8|1947|NMVVg@gmail.com
Niranjan Suri|2498-8649-0529-5976|5|1981|aVWXO@duck.com
David Toman|0791-4984-6921-8371|11|1957|hQEVoNn@mail.polimi.it
Dimitrios Tsoumakos|3481-8758-3706-6751|5|1987|cRwklT@gmail.com
Claudia Bauzer Medeiros|2717-4355-5557-1496|7|1949|VLybj@outlook.it
Kurt Mehlhorn|2767-4696-9468-6376|8|1976|cYnvl@outlook.it
Zoran Majkic|9241-6001-5728-1206|12|1984|JGwXPi@gmail.com
Jean-Michel Knippel|4005-6527-5666-3180|8|1978|NBFhLtY@gmail.com
Muhammad Usman Shahid Khan|0000-0002-7299-621X|2|1943|zjksKg@duck.com
N. Hamali|5004-1070-0562-8116|6|1958|kAsAPVy@outlook.it
Hamo Hayami|4337-0106-5268-2335|8|1974|uCZcR@tiscali.it
Eric Dubois 0001|0000-0003-1253-5283|9|1973|zyacsZ@gmail.com
Nabil Mesbahi|8021-3279-9360-6844|7|1949|MlWNy@duck.com
Daniel de Oliveira 0001|0000-0001-9346-7651|5|1985|lwxKkjK@mail.polimi.it
Tassadit Bouadi|0270-3085-5992-6034|9|1986|iyrva@gmail.com
Travell Perkins|1085-9003-3155-6159|7|1952|DgHssnA@tiscali.it
Odysseas Papapetrou|8364-1639-2449-3808|9|1976|huaucz@duck.com
Christian Chiarcos|0000-0002-4428-029X|3|1978|BoNyHKU@outlook.it
Asya Willerval|6342-6899-7426-3132|6|1978|YITIT@tiscali.it
Ramón Alvarez-Valdés|1666-6698-9043-0229|5|1971|nZUguw@outlook.it
Enrique Hernández-Orallo|7916-6729-6059-6141|4|1959|qeApqD@gmail.com
Shaolei Ren|0000-0001-9003-4324|11|1955|RzFFl@outlook.it
Antoni Kreczmar|3491-9776-5414-3565|5|1969|FNwOFUv@duck.com
Manel Chenait|4500-2194-2341-3363|8|1989|yBHOAgt@mail.polimi.it
Gregory Biegel|3968-1508-4760-6582|4|1971|KlMqL@outlook.it
Giovanni Livraga|0000-0003-2661-8573|2|1942|LiCjEl@tiscali.it
Friederike Nickl|1998-8504-8056-2550|9|1946|IVEqBmR@tiscali.it
Kian-Lee Tan|8212-1600-6306-6435|10|1948|RFLYT@gmail.com
Pietro Manzoni|7898-2481-5257-5007|3|1982|FsCmZ@tiscali.it
Sara García-Herranz|0000-0002-4593-0776|1|1977|NWOtz@outlook.it
Volker Wehmeier|6423-9357-0536-9396|5|1989|widBzJJ@mail.polimi.it
B. Muthuswamy|1069-5184-7536-8690|8|1966|xclLAoQ@gmail.com
Wookey Lee|8381-3889-9974-0593|10|1983|WcEPKg@mail.polimi.it
Asad Waqar Malik|1622-6483-3408-9252|8|1940|TmPEUpf@mail.polimi.it
Olivier Vogel|0233-5253-2006-6271|11|1944|hOYAVk@mail.polimi.it
Reto Krummenacher|3809-0169-5749-0985|6|1986|akLNg@outlook.it
Christopher Richardson|0748-4110-4845-1142|5|1958|rXWUhg@tiscali.it
Xin Qin|0200-1217-7806-6221|4|1956|hQeOtS@tiscali.it
Frank Dürr|8606-9931-6241-7299|7|1961|FDhVlbc@gmail.com
Eyke Hüllermeier|0419-7840-4433-0352|7|1973|kHOGdF@gmail.com
Shashi Shekhar|4059-1667-6981-5618|11|1959|kIvcxG@tiscali.it
Guy Denhière|3460-4376-8285-5594|9|1961|rUJhrpU@tiscali.it
Chuck Winters|9174-3257-3524-7770|8|1982|pUNNpTr@mail.polimi.it
Joseph P. Loyall|4853-2410-5734-6869|7|1949|tSsZaU@tiscali.it
Stefan Tai|8909-2079-0759-1156|2|1944|RFxMn@gmail.com
Helmut Nechansky|0153-3862-8417-1885|10|1979|GekpCYz@tiscali.it
Maurizio Lenzerini|8365-7265-6189-8308|1|1966|IFMRBHR@tiscali.it
John Gialelis|9712-2171-1912-2924|2|1977|bqZyC@tiscali.it
El-Ghazali Talbi|5773-4843-8382-2580|8|1955|rJbOW@mail.polimi.it
Stefano Paolozzi|0167-3053-7753-5573|11|1945|EmAOX@tiscali.it
Luciano Baresi|1420-8044-4758-5103|9|1989|LWouIp@gmail.com
Anne Mulkers|8904-4097-9986-9797|6|1976|DrbqP@tiscali.it
Eduardo Massad|0895-2699-3044-8073|7|1978|TQvwLz@duck.com
G. R. Kanagachidambaresan|6710-8662-0251-7292|6|1973|inaBSiq@tiscali.it
Cong Fang|4676-7846-7352-0938|10|1957|WCKxahj@outlook.it
Denny Vrandecic|8300-9642-2400-8011|4|1980|YbBGNfE@gmail.com
Michal Kochlán|6443-0261-6272-6886|1|1985|mbiew@tiscali.it
Dirk Vermeir|5629-1528-0562-7954|3|1983|MzdsusJ@tiscali.it
Roosevelt Silva|4618-3106-1342-8998|9|1967|UeoFc@duck.com
C. Icdem|5306-8301-6666-5877|1|1968|DWDBj@outlook.it
Daniel Neagu|0000-0002-7038-106X|5|1983|zUUmEu@outlook.it
Eric C. Jensen|7172-3670-3365-5348|1|1953|yzwyn@duck.com
Giulio Rossetti|0000-0003-3373-1240|12|1974|xokgnkn@outlook.it
José A. Ondiviela|0000-0001-6732-8754|11|1942|IfmKG@gmail.com
Alberto Zanella|0000-0002-5385-0813|3|1978|tutfRaj@gmail.com
Olivier Flauzac|6299-2694-7765-9747|6|1958|pLayj@mail.polimi.it
François Poulet|6496-7059-8998-2426|7|1982|auQMouQ@mail.polimi.it
Zheng Qin 0003|0901-8087-5564-6505|10|1962|pmnrIO@tiscali.it
Jolanta Dajda|5233-5091-9708-6526|1|1943|DWQbLyr@tiscali.it
Genady Shevchenko|4402-9996-0272-7375|10|1953|zGniB@outlook.it
Václav Jirkovský|9891-5147-4160-5454|11|1961|VFCqMtC@outlook.it
